Category,Japanese,English
People,ningen,human
,jinrui,humanity
,hito,person
,otoko,male
,otokonohito,man
,otokonoko,boy
,onna,female
,onnanohito,woman
,onnanoko,girl
,akachan,baby
,wakamono,"youth, young person"
,watashi,"I, myself"
,boku,"I, myself (formal)"
,ore,"I, myself (mainly used by males, informal)"
,atashi,"I, myself (mainly used by females, softer sounding)"
,shoujo,girl
,shounen,boy
Occupations,isha,doctor
,kangoshi,nurse
,kangofu,female nurse
,shikai,dentist
,seijika,politician
,bengoshi,lawyer
,shouboushi,firefighter
,keisatsukan,police officer
,heishi,soldier
,kenchikuka,architect
,sensei,teacher
,kyoushi,(academic) teacher
,kashu,singer
,enjinia,engineer
Body,ashi,"foot, leg"
,kakato,heel
,sune,shin
,hiza,knee
,momo,thigh
,atama,head
,kao,face
,kuchi,mouth
,kuchibiru,lips
,ha,tooth
,hana,nose
,me,eye
,hige,"moustache, beard"
,kami,hair
,mimi,ear
,onaka,stomach
,ude,arm
,hiji,elbow
,kata,shoulder
,tsume,nail
,te,hand
,tekubi,wrist
,te-no-hira,palm of hand
,yubi,"finger, toe"
,shiri,buttocks
,o-naka,abdomen
,kanzō,liver
,kimo,liver
,kin'niku,muscle
,kubi,neck
,kokoro,heart [as in feelings]
,koshi,"waist, hip"
,shinzō,heart
,senaka,back
,chi,blood
,niku,meat
,hada,skin
,hifu,skin
,hone,bone
,mune,chest
,kaze,cold [illness]
,geri,diarrhea
,byōki,illness
Family,kazoku,family
,ryoushin,parents
,kodomo,"children, child"
,"chichi (""otou-san"")","father (""otou-san"")"
,"haha (""okaa-san"")","mother (""okaa-san"")"
,tsuma,wife
,otto,husband
,ani (onī-san),older brother (onī-san)
,ane (onē-san),older sister (onē-san)
,otōto,younger brother
,imōto,younger sister
,kyōdai,"brothers, siblings"
,shimai,sisters
,sofu (ojii-san),grandfather (ojii-san)
,sobo (obaa-san),grandmother (obaa-san)
,mago,grandchild
,oji (oji-san),uncle (oji-san)
,oba (oba-san),aunt (oba-san)
,itoko,cousin
,mei,niece
,oi,nephew
Life,ikimono,living creatures
,bakemono,monster
Feelings,ureshii,happy
,tanoshii,fun
,kanashii,sad
,sabishii,lonely
,samishii,"sad, lonely"
,kowai,scary
,itai,painful
,kayui,itchy
,kusai,stinky
,tsurai,"painful, heart-breaking"
Movement,iku,to go
,kuru,to come
,kaeru,to return
,aruku,to walk
,tobu,"to jump, to fly"
,oyogu,to swim